City,Max Temp,Lat,Humidity,Cloudiness,Wind Speed
Qaanaaq,-28.24,77.48,100,0,8.75
Dzilam Gonzalez,72.43,21.28,90,92,6.06
Gizo,59.0,31.8,66,40,11.41
Kapaa,78.98,22.08,62,90,8.05
Busselton,59.74,-33.64,100,0,20.49
Rikitea,79.99,-23.12,98,68,11.99
Jamestown,72.84,-33.21,69,12,3.49
Constitucion,68.0,23.99,28,40,2.24
Moville,33.98,42.49,88,90,5.82
Timra,26.6,62.49,53,0,25.28
Graham,42.8,36.07,67,90,6.93
Cabo San Lucas,68.0,22.89,88,90,13.87
Nyurba,-40.07,63.29,87,0,2.71
Georgetown,80.6,6.8,74,40,9.17
Aksarka,1.96,66.56,78,36,8.3
Cape Town,66.2,-33.93,63,0,6.93
Neiafu,84.2,-18.65,79,40,9.17
Bluff,73.96,-23.58,84,56,8.75
Meadow Lake,26.6,54.13,86,75,14.99
Saint-Philippe,15.08,45.36,72,75,10.29
Los Andes,78.8,-32.83,41,75,16.11
Hermanus,55.6,-34.42,91,0,2.93
Grants,36.68,35.15,84,90,9.17
Tasiilaq,15.8,65.61,43,68,24.16
Tobolsk,17.98,58.2,86,12,6.29
Vaini,62.62,15.34,75,0,3.15
Khatanga,-20.14,71.98,59,76,16.46
Ponta do Sol,82.92,-20.63,60,8,2.37
Jupiter,77.0,26.93,44,1,4.7
Longyearbyen,6.8,78.22,65,20,5.82
Aklavik,-18.41,68.22,67,40,5.82
Tezu,45.88,27.93,99,56,1.92
Manzanillo,76.93,20.34,100,32,6.4
Yellowknife,-16.61,62.45,68,20,9.17
Hithadhoo,80.8,-0.6,100,68,5.61
Punta Arenas,59.0,-53.16,54,75,17.22
Iqaluit,-2.21,63.75,70,90,6.93
Pisco,71.6,-13.71,30,20,17.22
New Norfolk,66.2,-42.78,82,20,5.82
Avarua,84.2,-21.21,70,40,4.7
Clyde River,-36.41,70.47,73,20,3.36
Maceio,82.4,-9.67,61,40,11.41
Wundanyi,66.81,-3.4,93,20,2.71
Ravar,59.97,31.27,29,0,9.53
Palmer,33.08,61.6,60,40,14.99
Ancud,69.8,-41.87,56,0,8.05
Bredasdorp,64.4,-34.53,68,0,6.93
Sobolevo,29.95,54.43,94,88,18.03
Barrow,79.9,-38.31,60,56,7.96
Atuona,81.84,-9.8,98,76,15.46
Salinopolis,80.08,-0.61,100,80,7.74
Okara,43.36,30.81,88,8,3.04
Namibe,72.57,-15.19,100,20,8.63
Bonthe,82.42,7.53,71,20,6.17
Road Town,84.2,18.42,58,40,4.7
Ushuaia,60.8,-54.81,81,75,20.8
Okhotsk,-16.0,59.36,100,64,7.4
Bambous Virieux,80.6,-20.34,74,40,9.17
Victoria,78.8,5.28,94,75,6.96
Mazatlan,84.2,23.22,54,75,9.17
Santa Barbara,57.02,34.42,76,75,13.87
Puerto Ayora,80.6,-0.74,74,40,11.41
Ponta Delgada,60.8,37.73,72,20,4.7
Saint George,39.2,39.45,86,75,2.26
Seoul,32.0,37.57,68,40,5.82
Lorengau,83.41,-2.02,99,88,14.56
Tessalit,50.74,20.2,33,0,8.3
Kigonsera,69.8,-10.8,94,90,6.93
Esperance,84.2,10.24,51,20,11.41
Vaitape,81.7,-16.52,100,92,17.58
Cherskiy,-32.24,68.75,56,24,2.82
Mataura,55.06,-46.19,95,64,5.73
Bubaque,80.94,11.28,95,0,9.19
Golpayegan,43.99,33.46,59,48,13.22
Pires do Rio,82.06,-17.3,62,0,5.61
Dunedin,55.51,-45.87,94,0,3.71
Batagay-Alyta,-57.85,67.8,0,0,2.71
Grindavik,37.4,63.84,74,75,31.09
Tubuala,89.6,9.52,46,40,16.11
College,-4.18,64.86,84,1,2.93
Port Alfred,70.27,-33.59,92,12,4.72
Upernavik,-10.91,72.79,100,12,16.8
Bogashevo,12.2,56.37,72,0,6.71
Henties Bay,64.42,-22.12,96,80,4.72
Amos,17.6,48.57,85,90,5.82
Bunia,61.41,1.56,77,8,1.36
Souillac,48.2,45.6,66,90,2.24
Riyadh,64.4,24.63,34,0,5.82
Atasu,26.71,48.68,85,76,14.34
Castro,69.8,-42.48,56,0,8.05
Sabana Grande de Boya,84.2,18.95,74,20,4.7
Samtredia,42.8,42.16,56,0,8.05
Vila Franca do Campo,60.8,37.72,72,20,4.7
Arraial do Cabo,80.6,-22.97,74,0,18.34
Ahipara,64.47,-35.17,93,88,19.15
San Rafael,62.53,-34.61,61,88,5.06
Katobu,80.89,-4.94,97,76,7.52
Butaritari,83.46,3.07,100,92,15.35
Skwierzyna,30.2,52.6,74,0,16.11
San Patricio,89.89,-26.98,65,32,4.16
Salalah,77.0,17.01,65,75,8.05
Vardo,35.96,39.62,41,1,3.15
East London,73.42,-33.02,100,80,5.95
Pangkalanbuun,72.12,-2.68,98,36,2.71
Yar-Sale,11.77,66.83,94,64,11.65
Itarema,79.09,-2.92,89,80,5.73
Murshidabad,52.72,24.17,89,0,3.6
Hamilton,68.0,32.3,88,75,25.28
Albany,28.4,42.65,45,75,3.36
Vila Velha,79.27,-3.71,100,36,7.4
Capao da Canoa,78.91,-29.75,95,44,6.96
Madang,76.21,-5.21,100,20,3.38
Cayenne,84.2,4.94,70,40,10.29
Ninghai,46.4,29.29,100,90,4.47
Bangassou,75.49,4.74,82,48,2.59
Kudahuvadhoo,82.02,2.67,100,80,11.99
Izberbash,37.4,42.57,86,40,11.18
Pimentel,72.07,-3.7,100,92,2.48
Mar del Plata,84.31,-46.43,20,32,11.43
Shima,37.4,34.34,74,20,8.05
Klyuchi,18.07,52.25,81,48,17.47
Hobart,66.2,-42.88,82,20,5.82
Bereda,48.2,43.27,81,20,1.12
Hilo,75.92,19.71,64,20,4.7
Sao Filipe,72.39,14.9,96,0,17.36
Kieta,80.17,-6.22,98,36,4.27
Teacapan,83.46,22.54,33,92,2.93
Port Elizabeth,33.98,39.31,55,1,9.17
Itoman,62.6,26.12,67,0,3.36
Ciudad Bolivar,92.14,8.12,33,0,11.21
Bethel,39.02,60.79,75,20,14.99
Havoysund,30.2,71.0,79,0,3.36
Poya,76.44,-21.35,100,0,14.56
Gidam,57.54,18.98,96,0,3.94
Nantucket,33.98,41.28,66,90,18.34
Alboraya,46.4,39.5,81,0,4.7
Faya,55.4,18.39,76,0,4.7
Saint-Esteve,51.8,42.71,62,75,21.92
Dikson,7.09,73.51,93,80,22.84
Leninskoye,5.0,54.82,77,0,6.71
Vanavara,-9.7,60.35,67,20,3.38
Hami,22.66,42.84,78,80,11.21
Rincon,50.0,32.3,87,90,3.36
Knysna,66.2,-34.04,77,0,4.7
Rawlins,30.2,41.79,70,1,3.36
Sinnamary,80.08,5.38,93,88,8.75
Mehamn,30.2,71.03,92,40,19.46
Semnan,39.2,35.58,86,75,9.08
Severo-Kurilsk,27.07,50.68,100,56,11.1
Torbay,23.0,47.66,73,20,14.99
Tacuarembo,79.63,-31.73,87,92,4.61
San Vicente,89.6,13.64,52,75,9.17
Varkkallai,80.6,8.73,83,20,3.36
San Quintin,60.69,17.54,79,0,3.38
Destin,44.24,30.39,72,90,9.17
Conde,81.12,-11.81,81,64,10.76
Alofi,84.2,-19.06,74,75,11.41
Muhos,17.6,64.81,85,80,8.05
Loei,75.85,17.49,54,88,3.71
Lavrentiya,27.07,65.58,94,76,15.68
Stevenage,48.2,51.9,80,90,9.17
